sensor_id,machine_id,value,unit,is_anomaly,threshold_exceeded,recorded_at
SN126,M026,1924.0672,RPM,False,False,2024-05-10T11:26:37
SN128,M028,2179.9761,RPM,False,False,2024-05-11T20:44:12
SN043,M043,4.142,mm/s,False,False,2024-06-18T07:43:54
SN052,M002,8.2023,bar,False,False,2024-11-01T16:45:58
SN020,M020,25.4521,A,False,False,2024-04-21T14:20:52
SN068,M018,12.4913,bar,True,True,2024-06-05T03:09:59
SN058,M008,9.1425,bar,False,False,2024-10-05T17:30:45
SN149,M049,40.4629,°C,False,False,2024-01-27T02:59:59
SN146,M046,51.1301,%,False,False,2024-03-22T10:54:38
SN089,M039,6.5381,bar,False,False,2024-04-27T05:25:05
SN130,M030,4.9352,mm/s,False,False,2024-07-28T16:40:34
SN081,M031,46.3507,%,False,False,2024-08-30T17:05:07
SN132,M032,2175.8103,RPM,False,False,2024-03-11T03:19:18
SN005,M005,24.5206,A,False,False,2024-03-13T10:40:08
SN148,M048,63.2828,%,False,False,2024-11-15T23:22:44
SN120,M020,7.2724,mm/s,False,False,2024-11-10T03:48:23
SN112,M012,2070.8529,RPM,False,False,2024-01-24T06:08:15
SN134,M034,21.9681,A,False,False,2024-04-03T08:26:51
SN039,M039,66.506,°C,False,False,2024-11-23T19:47:14
SN112,M012,2451.53,RPM,False,False,2024-12-19T20:25:11
SN017,M017,9.644,mm/s,False,False,2024-04-13T16:00:44
SN074,M024,2.9235,mm/s,False,False,2024-08-21T11:53:27
SN061,M011,27.4381,%,False,False,2024-03-15T12:47:12
SN008,M008,2357.6021,RPM,False,False,2024-06-29T06:16:55
SN125,M025,46.4951,°C,False,False,2024-09-08T05:45:01
SN010,M010,37.8626,%,False,False,2024-01-12T07:37:18
SN067,M017,3.3611,bar,False,False,2024-08-01T20:57:10
SN046,M046,120.3623,RPM,False,False,2024-10-07T13:56:44
SN125,M025,23.3611,°C,False,False,2024-12-14T04:02:12
SN022,M022,849.2406,RPM,False,False,2024-01-25T16:37:27
SN105,M005,6.7092,bar,False,False,2024-12-09T23:30:09
SN024,M024,39.891,A,False,False,2024-11-23T07:00:06
SN036,M036,27.1212,A,False,False,2024-07-13T06:39:15
SN031,M031,39.3766,A,False,False,2024-10-28T00:36:12
SN135,M035,73.7373,°C,False,False,2024-04-02T11:02:13
SN032,M032,39.0397,°C,False,False,2024-11-19T05:55:00
SN150,M050,9.1866,mm/s,False,False,2024-10-15T22:12:00
SN061,M011,34.2795,%,False,False,2024-02-11T11:34:43
SN045,M045,3.3337,bar,False,False,2024-06-07T14:20:09
SN066,M016,159.3874,RPM,False,False,2024-07-26T04:18:01
SN096,M046,26.8624,°C,False,False,2024-07-30T22:42:44
SN109,M009,36.1357,%,False,False,2024-04-17T20:39:58
SN038,M038,33.9944,A,False,False,2024-11-14T23:40:48
SN079,M029,3727.0956,RPM,True,True,2024-08-23T06:36:09
SN009,M009,1887.3368,RPM,False,False,2024-12-31T09:20:29
SN014,M014,7.7048,bar,False,False,2024-04-03T01:56:26
SN065,M015,14.6903,A,False,False,2024-09-29T02:13:18
SN093,M043,32.5493,A,False,False,2024-07-26T17:43:44
SN061,M011,45.4449,%,False,False,2024-12-19T07:50:56
SN101,M001,75.764,°C,False,False,2024-04-26T20:28:51
SN024,M024,35.9417,A,False,False,2024-04-25T12:10:56
SN054,M004,2.3619,bar,False,False,2024-06-19T10:20:23
SN082,M032,7.5173,bar,False,False,2024-06-06T18:53:10
SN009,M009,228.2695,RPM,False,False,2024-10-29T17:03:46
SN126,M026,1176.9398,RPM,False,False,2024-11-22T16:12:42
SN086,M036,77.4279,%,False,False,2024-11-14T13:12:11
SN026,M026,33.1779,A,False,False,2024-07-15T15:22:47
SN017,M017,6.8641,mm/s,False,False,2024-11-11T21:41:56
SN141,M041,21.5299,A,False,False,2024-01-11T14:55:43
SN014,M014,2.5618,bar,False,False,2024-06-21T04:50:01
SN035,M035,53.3009,A,True,True,2024-04-28T15:54:34
SN081,M031,27.2592,%,False,False,2024-04-06T22:28:25
SN133,M033,36.4613,A,False,False,2024-09-09T02:48:05
SN034,M034,6.8289,bar,False,False,2024-11-03T19:57:41
SN082,M032,8.4248,bar,False,False,2024-02-21T20:24:05
SN067,M017,6.0407,bar,False,False,2024-05-07T05:16:15
SN073,M023,19.6886,A,False,False,2024-03-11T15:19:50
SN101,M001,77.394,°C,False,False,2024-12-09T10:39:34
SN147,M047,82.1012,%,False,False,2024-12-24T12:01:50
SN143,M043,29.7648,A,False,False,2024-12-18T04:24:21
SN023,M023,2.6853,bar,False,False,2024-09-29T08:13:39
SN044,M044,3486.4228,RPM,True,True,2024-08-21T04:03:57
SN067,M017,9.1433,bar,False,False,2024-03-07T01:39:36
SN146,M046,67.0672,%,False,False,2024-06-17T23:58:24
SN117,M017,5.6333,mm/s,False,False,2024-03-28T04:20:31
SN053,M003,72.3627,°C,False,False,2024-10-30T17:54:17
SN069,M019,5.2004,bar,False,False,2024-02-20T13:32:44
SN111,M011,56.455,°C,False,False,2024-11-16T01:03:54
SN073,M023,8.9948,A,False,False,2024-03-11T01:10:08
SN105,M005,1.2446,bar,False,False,2024-04-11T16:08:52
SN061,M011,79.43,%,False,False,2024-05-23T13:16:24
SN150,M050,5.2231,mm/s,False,False,2024-01-05T00:11:29
SN121,M021,921.251,RPM,False,False,2024-09-26T03:26:51
SN102,M002,33.8835,A,False,False,2024-10-02T03:15:43
SN109,M009,36.7828,%,False,False,2024-02-07T00:04:06
SN143,M043,15.811,A,False,False,2024-04-01T04:52:51
SN121,M021,2840.7074,RPM,False,False,2024-12-30T19:06:54
SN012,M012,3408.134,RPM,True,True,2024-05-27T22:35:47
SN078,M028,63.9677,%,False,False,2024-02-21T08:32:59
SN144,M044,90.2067,°C,True,True,2024-03-06T23:16:13
SN129,M029,42.2161,%,False,False,2024-06-30T18:52:01
SN034,M034,7.0372,bar,False,False,2024-06-17T03:11:48
SN037,M037,14.8803,A,False,False,2024-02-19T15:50:55
SN128,M028,2379.1915,RPM,False,False,2024-10-17T10:13:08
SN093,M043,13.439,A,False,False,2024-12-06T13:38:22
SN068,M018,7.4733,bar,False,False,2024-04-12T10:24:07
SN133,M033,42.4019,A,False,False,2024-05-02T13:04:23
SN126,M026,431.1045,RPM,False,False,2024-11-27T06:50:59
SN113,M013,1.6943,mm/s,False,False,2024-03-30T06:27:20
SN047,M047,12.9582,mm/s,True,True,2024-10-01T04:03:02
SN120,M020,11.3453,mm/s,False,False,2024-12-26T02:11:22
SN127,M027,13.224,mm/s,True,True,2024-10-02T08:37:50
SN144,M044,49.9491,°C,False,False,2024-11-24T11:47:05
SN038,M038,4.4449,A,False,False,2024-12-03T03:57:35
SN073,M023,7.994,A,False,False,2024-07-16T13:46:46
SN070,M020,1889.9424,RPM,False,False,2024-03-23T11:40:32
SN150,M050,0.047,mm/s,False,False,2024-10-24T19:32:16
SN147,M047,80.2871,%,False,False,2024-04-05T14:21:12
SN128,M028,2528.9979,RPM,False,False,2024-01-11T01:59:05
SN073,M023,32.3304,A,False,False,2024-06-02T01:55:43
SN096,M046,77.7866,°C,False,False,2024-11-21T01:11:34
SN083,M033,0.9241,mm/s,False,False,2024-11-18T14:40:40
SN123,M023,45.3721,A,False,False,2024-08-18T18:23:06
SN002,M002,22.872,%,False,False,2024-08-29T16:51:39
SN116,M016,67.9162,%,False,False,2024-10-12T04:21:15
SN146,M046,76.5448,%,False,False,2024-11-07T07:03:42
SN073,M023,2.6379,A,False,False,2024-01-28T11:11:46
SN141,M041,18.1161,A,False,False,2024-06-03T21:37:50
SN066,M016,2750.3905,RPM,False,False,2024-12-02T03:11:21
SN103,M003,2429.1856,RPM,False,False,2024-03-04T06:43:02
SN100,M050,3.2483,mm/s,False,False,2024-10-19T06:21:15
SN040,M040,49.8188,°C,False,False,2024-06-16T21:52:21
SN080,M030,59.5301,%,False,False,2024-05-19T10:32:06
SN025,M025,1461.0617,RPM,False,False,2024-07-09T03:37:02
SN115,M015,5.4314,mm/s,False,False,2024-08-06T16:04:20
SN109,M009,47.6761,%,False,False,2024-05-23T00:12:30
SN048,M048,45.8805,°C,False,False,2024-01-16T16:54:37
SN132,M032,1321.0459,RPM,False,False,2024-03-28T01:58:37
SN040,M040,52.0322,°C,False,False,2024-09-08T08:34:40
SN135,M035,48.4443,°C,False,False,2024-01-31T18:02:24
SN123,M023,46.7488,A,False,False,2024-09-22T18:16:05
SN077,M027,24.8469,A,False,False,2024-04-24T18:05:18
SN146,M046,93.3842,%,True,True,2024-01-18T12:18:53
SN132,M032,1211.0035,RPM,False,False,2024-02-06T16:39:29
SN119,M019,5.8321,bar,False,False,2024-04-08T09:40:33
SN091,M041,24.9675,°C,False,False,2024-07-14T12:26:36
SN005,M005,31.425,A,False,False,2024-03-10T17:32:51
SN047,M047,0.5159,mm/s,False,False,2024-06-10T15:44:44
SN077,M027,34.3945,A,False,False,2024-10-21T03:03:12
SN116,M016,37.3624,%,False,False,2024-12-22T13:25:24
SN048,M048,24.7519,°C,False,False,2024-08-22T14:10:51
SN067,M017,1.9038,bar,False,False,2024-07-26T12:44:43
SN005,M005,52.3418,A,True,True,2024-03-07T16:41:22
SN123,M023,19.2419,A,False,False,2024-09-12T10:22:03
SN125,M025,69.3978,°C,False,False,2024-08-27T12:28:42
SN093,M043,45.7492,A,False,False,2024-09-19T04:24:33
SN102,M002,4.1627,A,False,False,2024-02-22T11:21:11
SN004,M004,69.5701,°C,False,False,2024-09-27T07:29:33
SN049,M049,9.9384,A,False,False,2024-09-08T21:36:23
SN038,M038,20.7,A,False,False,2024-08-31T03:17:39
SN138,M038,38.2808,°C,False,False,2024-06-28T23:26:21
SN038,M038,1.0363,A,False,False,2024-03-05T12:12:55
SN040,M040,47.0499,°C,False,False,2024-07-07T08:57:51
SN121,M021,3370.1662,RPM,True,True,2024-04-04T05:28:20
SN052,M002,8.0503,bar,False,False,2024-06-01T03:13:11
SN014,M014,1.8726,bar,False,False,2024-11-25T04:28:47
SN111,M011,71.5534,°C,False,False,2024-10-13T06:04:04
SN149,M049,53.674,°C,False,False,2024-04-22T22:12:54
SN010,M010,51.8396,%,False,False,2024-08-17T12:53:07
SN125,M025,23.6878,°C,False,False,2024-01-08T09:16:33
SN109,M009,56.2382,%,False,False,2024-04-14T00:31:56
SN107,M007,333.2811,RPM,False,False,2024-08-29T19:57:13
SN089,M039,4.708,bar,False,False,2024-03-03T15:44:11
SN074,M024,5.3493,mm/s,False,False,2024-06-19T03:29:15
SN060,M010,6.6993,mm/s,False,False,2024-09-23T00:25:16
SN087,M037,2432.3433,RPM,False,False,2024-10-04T18:08:21
SN120,M020,3.3447,mm/s,False,False,2024-10-03T06:35:25
SN100,M050,9.4971,mm/s,False,False,2024-09-18T09:48:52
SN093,M043,37.9884,A,False,False,2024-11-23T23:36:07
SN042,M042,37.1593,°C,False,False,2024-10-17T23:33:22
SN023,M023,2.0973,bar,False,False,2024-03-18T11:19:39
SN041,M041,26.1299,°C,False,False,2024-06-10T13:15:18
SN127,M027,2.3875,mm/s,False,False,2024-01-19T06:31:53
SN005,M005,12.3884,A,False,False,2024-09-19T21:25:29
SN041,M041,72.2123,°C,False,False,2024-07-14T12:45:48
SN009,M009,962.5441,RPM,False,False,2024-02-14T06:16:14
SN059,M009,10.6445,A,False,False,2024-04-10T03:04:35
SN088,M038,66.7395,°C,False,False,2024-10-26T01:48:16
SN143,M043,7.181,A,False,False,2024-09-25T00:31:47
SN132,M032,296.8048,RPM,False,False,2024-01-20T13:58:02
SN113,M013,10.9742,mm/s,False,False,2024-10-20T12:14:03
SN029,M029,71.1982,%,False,False,2024-08-24T18:24:15
SN027,M027,1.9935,A,False,False,2024-02-10T22:30:09
SN043,M043,9.9279,mm/s,False,False,2024-12-19T19:00:10
SN093,M043,13.8758,A,False,False,2024-06-20T11:14:42
SN130,M030,9.9236,mm/s,False,False,2024-02-29T22:08:25
SN094,M044,392.6515,RPM,False,False,2024-11-25T13:28:46
SN052,M002,4.5339,bar,False,False,2024-10-25T15:54:31
SN002,M002,72.999,%,False,False,2024-05-12T13:20:01
SN074,M024,0.9717,mm/s,False,False,2024-05-24T15:21:30
SN107,M007,1895.2365,RPM,False,False,2024-02-28T21:07:08
SN136,M036,34.9459,%,False,False,2024-11-07T09:01:32
SN110,M010,4.6661,mm/s,False,False,2024-06-27T03:53:18
SN133,M033,17.1843,A,False,False,2024-01-12T13:24:38
SN114,M014,20.6516,%,False,False,2024-11-09T02:45:55
SN133,M033,4.027,A,False,False,2024-05-02T06:11:28
SN103,M003,468.3253,RPM,False,False,2024-01-24T20:55:34
SN101,M001,60.1057,°C,False,False,2024-09-06T02:53:39
SN039,M039,23.5119,°C,False,False,2024-09-02T07:00:32
SN134,M034,19.917,A,False,False,2024-12-10T00:05:40
SN142,M042,2056.4205,RPM,False,False,2024-05-01T19:51:05
SN089,M039,10.8435,bar,True,True,2024-07-23T23:22:31
SN038,M038,21.194,A,False,False,2024-03-20T15:59:00
SN140,M040,57.5549,°C,False,False,2024-06-20T17:04:44
SN089,M039,7.6433,bar,False,False,2024-06-06T02:15:59
SN051,M001,25.5204,%,False,False,2024-07-27T17:14:35
SN086,M036,67.0867,%,False,False,2024-12-07T17:02:06
SN033,M033,6.165,mm/s,False,False,2024-03-24T00:09:00
SN024,M024,14.832,A,False,False,2024-05-12T07:38:12
SN041,M041,104.1057,°C,True,True,2024-07-28T16:32:13
SN067,M017,7.5803,bar,False,False,2024-10-09T03:33:25
SN109,M009,27.2339,%,False,False,2024-01-24T06:44:05
SN096,M046,50.8306,°C,False,False,2024-02-18T02:01:15
SN013,M013,9.0014,bar,False,False,2024-06-23T06:31:51
SN077,M027,0.2476,A,False,False,2024-05-11T15:31:31
SN061,M011,84.7795,%,False,False,2024-08-07T15:44:53
SN137,M037,11.1073,A,False,False,2024-04-26T04:45:40
SN073,M023,38.7163,A,False,False,2024-08-10T10:33:48
SN036,M036,24.6842,A,False,False,2024-04-06T04:06:35
SN027,M027,27.6625,A,False,False,2024-11-15T13:27:00
SN093,M043,6.9613,A,False,False,2024-06-14T07:44:17
SN106,M006,1.5286,bar,False,False,2024-12-11T01:30:24
SN034,M034,4.7924,bar,False,False,2024-05-23T10:04:17
SN135,M035,53.9573,°C,False,False,2024-10-29T11:10:21
SN102,M002,27.7544,A,False,False,2024-09-04T04:14:52
SN109,M009,65.1307,%,False,False,2024-07-09T02:51:12
SN107,M007,411.3866,RPM,False,False,2024-02-19T08:52:52
SN125,M025,27.8602,°C,False,False,2024-09-30T14:38:45
SN132,M032,336.4657,RPM,False,False,2024-03-23T13:58:19
SN117,M017,8.5101,mm/s,False,False,2024-08-05T02:30:23
SN095,M045,5.6414,A,False,False,2024-11-27T00:10:39
SN105,M005,4.1415,bar,False,False,2024-04-22T11:10:47
SN011,M011,1.3423,mm/s,False,False,2024-04-28T10:06:11
SN096,M046,49.52,°C,False,False,2024-11-03T06:33:10
SN037,M037,28.0072,A,False,False,2024-01-19T21:27:38
SN079,M029,614.4071,RPM,False,False,2024-11-14T02:47:56
SN126,M026,3437.8007,RPM,True,True,2024-01-27T05:44:49
SN012,M012,1633.2184,RPM,False,False,2024-08-07T17:18:08
SN116,M016,71.1784,%,False,False,2024-07-03T13:26:30
SN034,M034,5.2905,bar,False,False,2024-06-28T00:14:11
SN116,M016,29.7584,%,False,False,2024-10-09T16:11:08
SN084,M034,1780.5957,RPM,False,False,2024-08-30T04:16:30
SN105,M005,8.6521,bar,False,False,2024-05-11T15:41:21
SN139,M039,99.8072,°C,True,True,2024-06-21T01:57:21
SN072,M022,9.8719,mm/s,False,False,2024-10-01T15:39:43
SN007,M007,37.8175,A,False,False,2024-10-01T17:26:06
SN080,M030,28.1077,%,False,False,2024-08-05T05:32:46
SN022,M022,1763.3066,RPM,False,False,2024-08-12T00:41:01
SN014,M014,5.4349,bar,False,False,2024-10-18T11:42:46
SN122,M022,0.8865,A,False,False,2024-09-12T15:22:32
SN137,M037,0.9012,A,False,False,2024-11-01T13:06:25
SN053,M003,62.8663,°C,False,False,2024-12-10T17:33:07
SN149,M049,69.0205,°C,False,False,2024-08-23T16:17:48
SN083,M033,0.5128,mm/s,False,False,2024-11-30T18:10:59
SN006,M006,514.4478,RPM,False,False,2024-01-10T08:13:36
SN136,M036,36.8451,%,False,False,2024-02-14T12:33:55
SN026,M026,13.5542,A,False,False,2024-03-11T22:35:52
SN066,M016,439.548,RPM,False,False,2024-06-07T04:05:29
SN044,M044,2739.2015,RPM,False,False,2024-03-11T11:18:34
SN007,M007,14.1562,A,False,False,2024-02-08T08:21:46
SN082,M032,8.5906,bar,False,False,2024-04-10T04:07:18
SN097,M047,42.7263,A,False,False,2024-01-21T03:32:20
SN052,M002,6.0745,bar,False,False,2024-04-01T20:15:25
SN127,M027,5.7504,mm/s,False,False,2024-02-14T16:38:10
SN069,M019,4.951,bar,False,False,2024-06-07T02:13:39
SN017,M017,4.6454,mm/s,False,False,2024-03-31T18:37:08
SN005,M005,45.765,A,False,False,2024-09-19T04:21:50
SN026,M026,26.3486,A,False,False,2024-10-31T22:43:36
SN033,M033,4.6369,mm/s,False,False,2024-02-02T14:04:57
SN129,M029,83.3982,%,False,False,2024-05-24T23:27:24
SN139,M039,67.5079,°C,False,False,2024-07-27T18:11:42
SN109,M009,56.3625,%,False,False,2024-01-17T05:31:49
SN001,M001,78.3877,°C,False,False,2024-08-29T01:37:19
SN075,M025,30.9635,%,False,False,2024-01-24T08:52:18
SN124,M024,11.9172,A,False,False,2024-09-21T02:02:19
SN098,M048,40.0158,A,False,False,2024-03-23T15:00:44
SN150,M050,3.2069,mm/s,False,False,2024-03-03T16:30:32
SN137,M037,14.2803,A,False,False,2024-06-02T12:30:31
SN032,M032,64.0482,°C,False,False,2024-04-18T12:44:24
SN111,M011,50.6678,°C,False,False,2024-11-07T11:42:32
SN082,M032,9.036,bar,False,False,2024-09-03T16:12:44
SN067,M017,7.0159,bar,False,False,2024-04-16T00:40:00
SN063,M013,41.0673,%,False,False,2024-03-22T19:09:25
SN118,M018,3.7444,mm/s,False,False,2024-12-20T23:16:02
SN035,M035,0.0973,A,False,False,2024-07-04T01:34:18
SN002,M002,64.0623,%,False,False,2024-06-09T10:57:30
SN143,M043,33.4067,A,False,False,2024-10-23T02:41:28
SN101,M001,67.8288,°C,False,False,2024-09-09T02:01:30
SN020,M020,42.3972,A,False,False,2024-11-12T22:11:55
SN114,M014,43.1212,%,False,False,2024-11-11T15:40:13
SN097,M047,17.0034,A,False,False,2024-03-09T19:29:56
SN003,M003,1055.8698,RPM,False,False,2024-03-15T22:48:18
SN114,M014,107.1831,%,True,True,2024-10-21T12:59:45
SN072,M022,8.0849,mm/s,False,False,2024-03-15T09:01:05
SN024,M024,29.6987,A,False,False,2024-11-09T22:58:09
SN057,M007,23.4559,A,False,False,2024-05-20T23:23:51
SN010,M010,79.2452,%,False,False,2024-10-01T13:25:09
SN054,M004,12.4638,bar,True,True,2024-09-04T22:39:20
SN102,M002,13.174,A,False,False,2024-07-13T07:22:22
SN127,M027,2.209,mm/s,False,False,2024-10-13T22:15:11
SN145,M045,6.8739,mm/s,False,False,2024-03-09T04:02:50
SN017,M017,8.5041,mm/s,False,False,2024-02-19T11:44:31
SN067,M017,8.2716,bar,False,False,2024-12-08T03:32:38
SN134,M034,13.0306,A,False,False,2024-11-25T04:49:50
SN006,M006,1975.0096,RPM,False,False,2024-07-25T23:22:29
SN065,M015,41.9473,A,False,False,2024-01-01T18:13:17
SN110,M010,10.751,mm/s,False,False,2024-01-21T03:23:46
SN083,M033,11.3442,mm/s,False,False,2024-04-16T10:11:48
SN032,M032,48.3451,°C,False,False,2024-05-20T09:09:42
SN133,M033,41.9806,A,False,False,2024-03-28T04:56:27
SN013,M013,4.5705,bar,False,False,2024-06-23T07:41:32
SN081,M031,95.8284,%,True,True,2024-02-01T18:30:51
SN147,M047,84.8623,%,False,False,2024-03-28T15:00:19
SN109,M009,80.0632,%,False,False,2024-03-17T11:01:29
SN043,M043,0.7164,mm/s,False,False,2024-08-30T20:10:08
SN025,M025,3358.0448,RPM,True,True,2024-01-10T07:54:55
SN086,M036,36.1886,%,False,False,2024-07-02T22:03:11
SN062,M012,2372.6749,RPM,False,False,2024-11-15T02:10:55
SN086,M036,35.5067,%,False,False,2024-01-29T07:34:41
SN113,M013,7.129,mm/s,False,False,2024-08-12T20:03:37
SN032,M032,23.6867,°C,False,False,2024-01-13T22:47:08
SN097,M047,40.2654,A,False,False,2024-01-26T06:06:24
SN033,M033,9.1472,mm/s,False,False,2024-01-22T06:40:08
