order_id,product_name,line_id,plant_id,quantity,start_date,end_date,status,priority
PO-00166,Door Frame,L005,P002,802,2023-05-01,2023-05-22,in_progress,normal
PO-00167,Exhaust System,L003,P001,1581,2024-05-04,2024-05-09,cancelled,normal
PO-00168,Transmission Assembly,L008,P003,1610,2024-07-04,2024-07-30,completed,high
PO-00169,Steering Column,L002,P001,1491,2024-06-22,2024-07-07,completed,high
PO-00170,Steering Column,L002,P001,1899,2023-03-05,2023-04-01,completed,normal
PO-00171,Steering Column,L003,P001,954,2023-06-18,2023-06-29,completed,normal
PO-00172,Steering Column,L008,P003,962,2023-04-04,2023-05-03,planned,normal
PO-00173,Vehicle Body Panel,L007,P003,1194,2024-04-12,2024-05-01,completed,high
PO-00174,Vehicle Body Panel,L001,P001,1577,2024-02-10,2024-02-19,completed,low
PO-00175,Engine Block,L007,P003,1158,2023-12-19,2024-01-11,cancelled,high
PO-00176,Door Frame,L002,P001,887,2024-04-28,2024-04-30,completed,low
PO-00177,Brake Assembly,L007,P003,968,2024-01-19,2024-02-17,planned,high
PO-00178,Steering Column,L007,P003,322,2023-03-24,2023-04-15,in_progress,normal
PO-00179,Steering Column,L003,P001,310,2024-07-04,2024-07-17,in_progress,normal
PO-00180,Exhaust System,L001,P001,1429,2023-01-24,2023-02-03,in_progress,normal
PO-00181,Exhaust System,L007,P003,758,2023-08-24,2023-09-01,completed,normal
PO-00182,Brake Assembly,L002,P001,1309,2023-02-02,2023-02-28,in_progress,high
PO-00183,Engine Block,L001,P001,256,2023-09-04,2023-09-11,in_progress,normal
PO-00184,Vehicle Body Panel,L001,P001,873,2023-09-08,2023-10-02,completed,normal
PO-00185,Door Frame,L001,P001,529,2023-05-24,2023-06-10,planned,high
PO-00186,Suspension Component,L006,P003,535,2024-08-14,2024-09-03,completed,low
PO-00187,Door Frame,L004,P002,174,2024-02-28,2024-03-09,in_progress,normal
PO-00188,Brake Assembly,L003,P001,1188,2024-10-03,2024-10-25,completed,critical
PO-00189,Brake Assembly,L007,P003,886,2024-06-21,2024-07-02,completed,normal
PO-00190,Transmission Assembly,L008,P003,665,2023-09-04,2023-10-02,planned,low
PO-00191,Brake Assembly,L008,P003,903,2023-03-01,2023-03-19,in_progress,low
PO-00192,Suspension Component,L004,P002,1374,2023-09-19,2023-09-26,completed,normal
PO-00193,Transmission Assembly,L006,P003,155,2023-04-05,2023-04-23,completed,normal
PO-00194,Dashboard Assembly,L001,P001,1533,2023-03-16,2023-03-23,in_progress,normal
PO-00195,Vehicle Body Panel,L004,P002,483,2023-12-07,2023-12-17,planned,critical
PO-00196,Transmission Assembly,L002,P001,1474,2024-05-05,2024-06-04,in_progress,normal
PO-00197,Door Frame,L004,P002,829,2024-07-19,2024-07-30,completed,normal
PO-00198,Steering Column,L005,P002,1857,2023-09-25,2023-10-07,completed,low
PO-00199,Transmission Assembly,L008,P003,809,2023-11-24,2023-12-24,completed,low
PO-00200,Door Frame,L004,P002,1183,2023-05-30,2023-05-31,planned,normal
PO-00201,Transmission Assembly,L007,P003,725,2023-10-30,2023-11-04,completed,normal
PO-00202,Suspension Component,L004,P002,577,2024-05-26,2024-06-13,in_progress,normal
PO-00203,Suspension Component,L008,P003,396,2024-04-16,2024-04-22,completed,normal
PO-00204,Vehicle Body Panel,L003,P001,1123,2024-07-09,2024-07-30,completed,high
PO-00205,Battery Module,L001,P001,1775,2023-01-07,2023-01-21,in_progress,low
PO-00206,Steering Column,L003,P001,983,2023-01-10,2023-01-17,completed,normal
PO-00207,Vehicle Body Panel,L008,P003,63,2024-11-06,2024-11-22,completed,normal
PO-00208,Door Frame,L001,P001,1147,2024-06-26,2024-07-20,cancelled,low
PO-00209,Engine Block,L007,P003,1123,2023-07-03,2023-07-07,completed,normal
PO-00210,Brake Assembly,L005,P002,211,2023-12-29,2024-01-07,completed,normal
PO-00211,Engine Block,L004,P002,1388,2023-08-20,2023-08-30,cancelled,normal
PO-00212,Brake Assembly,L001,P001,822,2023-04-06,2023-04-19,in_progress,low
PO-00213,Exhaust System,L001,P001,1781,2023-06-25,2023-06-28,completed,high
PO-00214,Vehicle Body Panel,L002,P001,520,2024-06-24,2024-07-24,completed,high
PO-00215,Engine Block,L008,P003,1451,2023-10-05,2023-10-07,planned,high
PO-00216,Suspension Component,L001,P001,82,2023-07-03,2023-08-02,cancelled,normal
PO-00217,Battery Module,L007,P003,1204,2023-03-20,2023-03-30,completed,high
PO-00218,Steering Column,L007,P003,729,2024-11-24,2024-12-23,completed,high
PO-00219,Suspension Component,L002,P001,159,2024-05-27,2024-06-20,completed,normal
PO-00220,Dashboard Assembly,L002,P001,1269,2023-12-15,2024-01-04,completed,high
PO-00221,Exhaust System,L001,P001,1054,2024-10-11,2024-10-20,completed,normal
PO-00222,Dashboard Assembly,L007,P003,1403,2024-03-18,2024-03-24,completed,high
PO-00223,Engine Block,L005,P002,218,2023-09-10,2023-10-03,completed,normal
PO-00224,Suspension Component,L003,P001,268,2024-02-03,2024-02-14,completed,high
PO-00225,Door Frame,L008,P003,259,2024-01-04,2024-01-29,completed,normal
PO-00226,Steering Column,L008,P003,885,2024-07-24,2024-08-11,completed,low
PO-00227,Suspension Component,L002,P001,1818,2024-09-03,2024-09-23,completed,normal
PO-00228,Steering Column,L007,P003,1903,2023-03-28,2023-04-21,cancelled,normal
PO-00229,Battery Module,L003,P001,600,2024-01-25,2024-01-31,completed,normal
PO-00230,Door Frame,L002,P001,912,2023-06-21,2023-07-05,completed,high
PO-00231,Exhaust System,L006,P003,1266,2023-09-15,2023-09-23,in_progress,normal
PO-00232,Brake Assembly,L003,P001,730,2023-11-08,2023-11-09,planned,normal
PO-00233,Brake Assembly,L006,P003,1720,2024-03-26,2024-04-06,planned,normal
PO-00234,Dashboard Assembly,L003,P001,1990,2023-11-04,2023-11-15,in_progress,normal
PO-00235,Door Frame,L003,P001,1555,2024-02-12,2024-02-23,in_progress,normal
PO-00236,Door Frame,L004,P002,1722,2023-11-30,2023-12-13,in_progress,normal
PO-00237,Battery Module,L004,P002,1446,2024-08-29,2024-09-16,in_progress,low
PO-00238,Door Frame,L008,P003,1752,2023-08-03,2023-08-18,in_progress,high
PO-00239,Battery Module,L007,P003,1347,2024-11-20,2024-12-06,completed,normal
PO-00240,Brake Assembly,L003,P001,201,2024-03-09,2024-04-04,completed,normal
PO-00241,Brake Assembly,L007,P003,1163,2024-07-01,2024-07-18,completed,critical
PO-00242,Transmission Assembly,L002,P001,1396,2023-04-22,2023-05-17,in_progress,normal
PO-00243,Brake Assembly,L001,P001,1591,2024-07-30,2024-08-20,completed,high
PO-00244,Door Frame,L002,P001,504,2023-01-11,2023-01-15,completed,normal
PO-00245,Brake Assembly,L004,P002,998,2024-04-01,2024-04-13,in_progress,normal
PO-00246,Exhaust System,L003,P001,264,2023-12-20,2023-12-21,completed,high
PO-00247,Battery Module,L002,P001,763,2023-04-29,2023-05-26,completed,normal
PO-00248,Suspension Component,L004,P002,1025,2024-06-17,2024-07-03,completed,high
PO-00249,Door Frame,L008,P003,141,2023-11-23,2023-11-26,planned,low
PO-00250,Battery Module,L006,P003,1954,2024-10-25,2024-10-29,cancelled,normal
PO-00251,Suspension Component,L003,P001,1196,2024-07-19,2024-07-25,completed,normal
PO-00252,Battery Module,L007,P003,1361,2024-10-06,2024-10-12,in_progress,normal
PO-00253,Brake Assembly,L004,P002,846,2024-04-05,2024-04-24,completed,normal
PO-00254,Engine Block,L005,P002,1687,2023-03-06,2023-03-25,planned,normal
PO-00255,Engine Block,L006,P003,587,2023-07-21,2023-08-05,in_progress,normal
PO-00256,Dashboard Assembly,L006,P003,853,2024-09-03,2024-09-16,in_progress,normal
PO-00257,Door Frame,L008,P003,1931,2024-09-24,2024-09-30,in_progress,low
PO-00258,Transmission Assembly,L003,P001,675,2023-11-17,2023-11-21,completed,normal
PO-00259,Brake Assembly,L003,P001,1271,2024-06-07,2024-06-20,completed,normal
PO-00260,Steering Column,L003,P001,1470,2024-05-13,2024-06-03,planned,high
PO-00261,Exhaust System,L003,P001,641,2024-07-22,2024-07-28,completed,normal
PO-00262,Suspension Component,L008,P003,1999,2024-09-26,2024-09-28,completed,low
PO-00263,Exhaust System,L007,P003,887,2024-07-29,2024-08-15,in_progress,normal
PO-00264,Engine Block,L008,P003,1207,2024-05-15,2024-05-21,completed,high
PO-00265,Transmission Assembly,L005,P002,1151,2023-02-03,2023-02-12,completed,high
PO-00266,Engine Block,L008,P003,1222,2024-07-16,2024-08-02,completed,high
PO-00267,Vehicle Body Panel,L006,P003,1606,2024-07-09,2024-08-05,in_progress,normal
PO-00268,Transmission Assembly,L007,P003,659,2023-04-15,2023-05-09,planned,low
PO-00269,Engine Block,L005,P002,949,2023-12-23,2024-01-20,planned,low
PO-00270,Dashboard Assembly,L004,P002,1461,2023-08-03,2023-08-29,completed,high
PO-00271,Battery Module,L007,P003,1657,2023-06-19,2023-07-09,completed,normal
PO-00272,Steering Column,L001,P001,625,2024-08-06,2024-08-18,in_progress,normal
PO-00273,Door Frame,L005,P002,2000,2023-10-24,2023-11-12,planned,critical
PO-00274,Brake Assembly,L002,P001,1931,2023-05-19,2023-06-13,completed,normal
PO-00275,Battery Module,L003,P001,1506,2023-05-16,2023-05-24,completed,normal
PO-00276,Dashboard Assembly,L007,P003,1345,2024-05-16,2024-05-21,completed,normal
PO-00277,Engine Block,L008,P003,875,2023-03-19,2023-04-09,completed,normal
PO-00278,Suspension Component,L006,P003,1241,2024-04-10,2024-04-26,completed,high
PO-00279,Suspension Component,L002,P001,1791,2024-04-14,2024-05-05,completed,normal
PO-00280,Transmission Assembly,L004,P002,1063,2024-03-15,2024-04-11,completed,high
PO-00281,Battery Module,L006,P003,1209,2024-07-14,2024-08-02,planned,high
PO-00282,Exhaust System,L001,P001,83,2023-02-17,2023-02-21,completed,high
PO-00283,Brake Assembly,L008,P003,464,2024-04-12,2024-04-13,cancelled,high
PO-00284,Door Frame,L005,P002,241,2023-06-12,2023-07-10,in_progress,normal
PO-00285,Battery Module,L006,P003,156,2024-11-11,2024-12-10,completed,normal
PO-00286,Engine Block,L004,P002,1491,2024-03-15,2024-04-05,completed,normal
PO-00287,Transmission Assembly,L002,P001,1113,2023-05-16,2023-06-04,in_progress,low
PO-00288,Brake Assembly,L006,P003,1471,2023-05-04,2023-06-01,completed,low
PO-00289,Engine Block,L007,P003,261,2023-04-02,2023-04-26,completed,high
PO-00290,Battery Module,L003,P001,1363,2024-01-27,2024-02-21,cancelled,low
PO-00291,Battery Module,L001,P001,951,2024-09-16,2024-10-07,completed,normal
PO-00292,Exhaust System,L003,P001,1811,2024-02-26,2024-03-17,completed,high
PO-00293,Brake Assembly,L003,P001,769,2023-05-07,2023-05-26,cancelled,normal
PO-00294,Engine Block,L003,P001,558,2023-09-11,2023-09-20,in_progress,normal
PO-00295,Door Frame,L005,P002,470,2023-01-28,2023-02-25,completed,normal
PO-00296,Vehicle Body Panel,L007,P003,1655,2023-10-30,2023-11-20,planned,critical
PO-00297,Transmission Assembly,L008,P003,1073,2024-01-31,2024-02-04,in_progress,low
PO-00298,Suspension Component,L001,P001,320,2024-01-05,2024-02-04,completed,high
PO-00299,Battery Module,L007,P003,1612,2024-01-10,2024-01-28,completed,critical
PO-00300,Engine Block,L002,P001,78,2023-01-18,2023-02-06,completed,low
PO-00301,Door Frame,L001,P001,1337,2024-02-12,2024-02-29,in_progress,high
PO-00302,Steering Column,L007,P003,1151,2024-02-16,2024-02-19,in_progress,normal
PO-00303,Transmission Assembly,L005,P002,1704,2023-03-22,2023-04-08,completed,normal
PO-00304,Brake Assembly,L002,P001,1544,2023-11-14,2023-12-07,cancelled,normal
PO-00305,Brake Assembly,L004,P002,287,2023-03-30,2023-04-29,completed,normal
PO-00306,Battery Module,L005,P002,294,2024-11-13,2024-12-07,completed,low
PO-00307,Suspension Component,L001,P001,1121,2023-06-17,2023-07-03,completed,high
PO-00308,Battery Module,L005,P002,1585,2023-06-20,2023-07-02,in_progress,normal
PO-00309,Brake Assembly,L002,P001,607,2023-01-31,2023-02-11,completed,normal
PO-00310,Steering Column,L002,P001,787,2024-05-23,2024-06-07,completed,high
PO-00311,Door Frame,L003,P001,1633,2024-01-12,2024-01-18,completed,normal
PO-00312,Steering Column,L002,P001,55,2023-08-22,2023-09-15,completed,high
PO-00313,Suspension Component,L004,P002,834,2023-02-17,2023-03-05,planned,normal
PO-00314,Brake Assembly,L001,P001,509,2024-07-20,2024-08-15,completed,normal
PO-00315,Engine Block,L006,P003,1220,2023-10-05,2023-11-01,completed,normal
PO-00316,Steering Column,L001,P001,144,2023-07-03,2023-07-11,cancelled,low
PO-00317,Door Frame,L008,P003,720,2023-10-17,2023-11-11,completed,normal
PO-00318,Dashboard Assembly,L006,P003,1656,2023-07-25,2023-08-04,completed,normal
PO-00319,Exhaust System,L008,P003,1632,2024-01-13,2024-02-01,in_progress,high
PO-00320,Brake Assembly,L004,P002,98,2023-06-04,2023-06-05,completed,normal
PO-00321,Brake Assembly,L001,P001,1788,2023-12-10,2023-12-11,in_progress,normal
PO-00322,Brake Assembly,L004,P002,1057,2024-06-26,2024-07-04,cancelled,critical
PO-00323,Vehicle Body Panel,L003,P001,1936,2023-10-14,2023-10-17,completed,high
PO-00324,Engine Block,L007,P003,1239,2024-01-17,2024-02-01,completed,low
PO-00325,Dashboard Assembly,L007,P003,177,2023-03-18,2023-04-06,completed,critical
PO-00326,Suspension Component,L004,P002,1946,2023-10-26,2023-11-04,planned,high
PO-00327,Door Frame,L006,P003,528,2023-11-22,2023-12-07,completed,normal
PO-00328,Battery Module,L002,P001,970,2023-06-09,2023-06-13,completed,normal
PO-00329,Door Frame,L006,P003,998,2023-08-01,2023-08-16,completed,low
PO-00330,Dashboard Assembly,L003,P001,132,2023-11-08,2023-12-05,completed,high
